"No.","Time","Source","Destination","Protocol","Length","Info"
"49","0.417505","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26119; Unit:   1, Func:   3: Read Holding Registers"
"50","0.418305","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26119; Unit:   1, Func:   3: Read Holding Registers"
"51","0.418788","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26120; Unit:   1, Func:  16: Write Multiple Registers"
"52","0.419363","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26120; Unit:   1, Func:  16: Write Multiple Registers"
"53","0.519013","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26121; Unit:   1, Func:   2: Read Discrete Inputs"
"54","0.519511","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26121; Unit:   1, Func:   2: Read Discrete Inputs"
"55","0.519794","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26122; Unit:   1, Func:  15: Write Multiple Coils"
"56","0.520104","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26122; Unit:   1, Func:  15: Write Multiple Coils"
"57","0.520294","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26123; Unit:   1, Func:   4: Read Input Registers"
"58","0.520615","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26123; Unit:   1, Func:   4: Read Input Registers"
"59","0.520856","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26124; Unit:   1, Func:   3: Read Holding Registers"
"60","0.521146","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26124; Unit:   1, Func:   3: Read Holding Registers"
"61","0.521385","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26125; Unit:   1, Func:  16: Write Multiple Registers"
"62","0.521686","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26125; Unit:   1, Func:  16: Write Multiple Registers"
"63","0.621079","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26126; Unit:   1, Func:   2: Read Discrete Inputs"
"64","0.622499","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26126; Unit:   1, Func:   2: Read Discrete Inputs"
"65","0.623102","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26127; Unit:   1, Func:  15: Write Multiple Coils"
"66","0.623811","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26127; Unit:   1, Func:  15: Write Multiple Coils"
"67","0.624304","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26128; Unit:   1, Func:   4: Read Input Registers"
"68","0.624799","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26128; Unit:   1, Func:   4: Read Input Registers"
"69","0.625469","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26129; Unit:   1, Func:   3: Read Holding Registers"
"70","0.625834","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26129; Unit:   1, Func:   3: Read Holding Registers"
"71","0.626360","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26130; Unit:   1, Func:  16: Write Multiple Registers"
"72","0.626795","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26130; Unit:   1, Func:  16: Write Multiple Registers"
"73","0.727023","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26131; Unit:   1, Func:   2: Read Discrete Inputs"
"74","0.727594","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26131; Unit:   1, Func:   2: Read Discrete Inputs"
"75","0.728086","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26132; Unit:   1, Func:  15: Write Multiple Coils"
"76","0.743715","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26132; Unit:   1, Func:  15: Write Multiple Coils"
"77","0.744106","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26133; Unit:   1, Func:   4: Read Input Registers"
"78","0.745018","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26133; Unit:   1, Func:   4: Read Input Registers"
"79","0.745358","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26134; Unit:   1, Func:   3: Read Holding Registers"
"80","0.745849","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26134; Unit:   1, Func:   3: Read Holding Registers"
"81","0.746188","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26135; Unit:   1, Func:  16: Write Multiple Registers"
"82","0.746808","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26135; Unit:   1, Func:  16: Write Multiple Registers"
"83","0.847087","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26136; Unit:   1, Func:   2: Read Discrete Inputs"
"84","0.847942","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26136; Unit:   1, Func:   2: Read Discrete Inputs"
"85","0.848215","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26137; Unit:   1, Func:  15: Write Multiple Coils"
"86","0.848624","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26137; Unit:   1, Func:  15: Write Multiple Coils"
"87","0.848888","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26138; Unit:   1, Func:   4: Read Input Registers"
"88","0.849183","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26138; Unit:   1, Func:   4: Read Input Registers"
"89","0.849439","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26139; Unit:   1, Func:   3: Read Holding Registers"
"90","0.849724","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26139; Unit:   1, Func:   3: Read Holding Registers"
"91","0.849976","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26140; Unit:   1, Func:  16: Write Multiple Registers"
"92","0.850260","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26140; Unit:   1, Func:  16: Write Multiple Registers"
"93","0.950106","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26141; Unit:   1, Func:   2: Read Discrete Inputs"
"94","0.950822","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26141; Unit:   1, Func:   2: Read Discrete Inputs"
"95","0.951202","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26142; Unit:   1, Func:  15: Write Multiple Coils"
"96","0.951684","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26142; Unit:   1, Func:  15: Write Multiple Coils"
"97","0.952105","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26143; Unit:   1, Func:   4: Read Input Registers"
"98","0.952594","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26143; Unit:   1, Func:   4: Read Input Registers"
"99","0.953264","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26144; Unit:   1, Func:   3: Read Holding Registers"
"100","0.953807","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26144; Unit:   1, Func:   3: Read Holding Registers"
"101","0.954476","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26145; Unit:   1, Func:  16: Write Multiple Registers"
"102","0.954952","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26145; Unit:   1, Func:  16: Write Multiple Registers"
"103","1.055121","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26146; Unit:   1, Func:   2: Read Discrete Inputs"
"104","1.055749","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26146; Unit:   1, Func:   2: Read Discrete Inputs"
"105","1.056437","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26147; Unit:   1, Func:  15: Write Multiple Coils"
"106","1.056945","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26147; Unit:   1, Func:  15: Write Multiple Coils"
"107","1.057318","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26148; Unit:   1, Func:   4: Read Input Registers"
"108","1.057751","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26148; Unit:   1, Func:   4: Read Input Registers"
"109","1.058111","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26149; Unit:   1, Func:   3: Read Holding Registers"
"110","1.058543","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26149; Unit:   1, Func:   3: Read Holding Registers"
"111","1.058896","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26150; Unit:   1, Func:  16: Write Multiple Registers"
"112","1.059328","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26150; Unit:   1, Func:  16: Write Multiple Registers"
"113","1.159167","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26151; Unit:   1, Func:   2: Read Discrete Inputs"
"114","1.159809","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26151; Unit:   1, Func:   2: Read Discrete Inputs"
"115","1.160500","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26152; Unit:   1, Func:  15: Write Multiple Coils"
"116","1.160927","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26152; Unit:   1, Func:  15: Write Multiple Coils"
"117","1.161415","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26153; Unit:   1, Func:   4: Read Input Registers"
"118","1.161776","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26153; Unit:   1, Func:   4: Read Input Registers"
"119","1.162398","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26154; Unit:   1, Func:   3: Read Holding Registers"
"120","1.162744","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26154; Unit:   1, Func:   3: Read Holding Registers"
"121","1.163150","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26155; Unit:   1, Func:  16: Write Multiple Registers"
"122","1.163481","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26155; Unit:   1, Func:  16: Write Multiple Registers"
"123","1.263145","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26156; Unit:   1, Func:   2: Read Discrete Inputs"
"124","1.263814","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26156; Unit:   1, Func:   2: Read Discrete Inputs"
"125","1.264504","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26157; Unit:   1, Func:  15: Write Multiple Coils"
"126","1.265238","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26157; Unit:   1, Func:  15: Write Multiple Coils"
"127","1.265724","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26158; Unit:   1, Func:   4: Read Input Registers"
"128","1.266398","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26158; Unit:   1, Func:   4: Read Input Registers"
"129","1.266892","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26159; Unit:   1, Func:   3: Read Holding Registers"
"130","1.267701","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26159; Unit:   1, Func:   3: Read Holding Registers"
"131","1.268040","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26160; Unit:   1, Func:  16: Write Multiple Registers"
"132","1.270572","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26160; Unit:   1, Func:  16: Write Multiple Registers"
"133","1.274323","Raspberr_58:67:86","Broadcast","ARP","60","Who has 8.8.8.8? Tell 169.254.149.247"
"134","1.370148","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26161; Unit:   1, Func:   2: Read Discrete Inputs"
"135","1.371299","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26161; Unit:   1, Func:   2: Read Discrete Inputs"
"136","1.371946","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26162; Unit:   1, Func:  15: Write Multiple Coils"
"137","1.372441","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26162; Unit:   1, Func:  15: Write Multiple Coils"
"138","1.372804","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26163; Unit:   1, Func:   4: Read Input Registers"
"139","1.373199","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26163; Unit:   1, Func:   4: Read Input Registers"
"140","1.373610","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26164; Unit:   1, Func:   3: Read Holding Registers"
"141","1.373972","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26164; Unit:   1, Func:   3: Read Holding Registers"
"142","1.374322","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26165; Unit:   1, Func:  16: Write Multiple Registers"
"143","1.392405","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26165; Unit:   1, Func:  16: Write Multiple Registers"
"144","1.492105","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26166; Unit:   1, Func:   2: Read Discrete Inputs"
"145","1.495759","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26166; Unit:   1, Func:   2: Read Discrete Inputs"
"146","1.496180","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26167; Unit:   1, Func:  15: Write Multiple Coils"
"147","1.496859","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26167; Unit:   1, Func:  15: Write Multiple Coils"
"148","1.497260","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26168; Unit:   1, Func:   4: Read Input Registers"
"149","1.498127","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26168; Unit:   1, Func:   4: Read Input Registers"
"150","1.498484","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26169; Unit:   1, Func:   3: Read Holding Registers"
"151","1.499917","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26169; Unit:   1, Func:   3: Read Holding Registers"
"152","1.500304","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26170; Unit:   1, Func:  16: Write Multiple Registers"
"153","1.500981","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26170; Unit:   1, Func:  16: Write Multiple Registers"
"154","1.601052","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26171; Unit:   1, Func:   2: Read Discrete Inputs"
"155","1.603173","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26171; Unit:   1, Func:   2: Read Discrete Inputs"
"156","1.603299","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26172; Unit:   1, Func:  15: Write Multiple Coils"
"157","1.603830","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26172; Unit:   1, Func:  15: Write Multiple Coils"
"158","1.603913","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26173; Unit:   1, Func:   4: Read Input Registers"
"159","1.604373","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26173; Unit:   1, Func:   4: Read Input Registers"
"160","1.604469","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26174; Unit:   1, Func:   3: Read Holding Registers"
"161","1.604908","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26174; Unit:   1, Func:   3: Read Holding Registers"
"162","1.605021","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26175; Unit:   1, Func:  16: Write Multiple Registers"
"163","1.605451","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26175; Unit:   1, Func:  16: Write Multiple Registers"
"164","1.705075","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26176; Unit:   1, Func:   2: Read Discrete Inputs"
"165","1.706346","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26176; Unit:   1, Func:   2: Read Discrete Inputs"
"166","1.706538","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26177; Unit:   1, Func:  15: Write Multiple Coils"
"167","1.707065","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26177; Unit:   1, Func:  15: Write Multiple Coils"
"168","1.707231","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26178; Unit:   1, Func:   4: Read Input Registers"
"169","1.707696","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26178; Unit:   1, Func:   4: Read Input Registers"
"170","1.707876","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26179; Unit:   1, Func:   3: Read Holding Registers"
"171","1.709190","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26179; Unit:   1, Func:   3: Read Holding Registers"
"172","1.709369","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26180; Unit:   1, Func:  16: Write Multiple Registers"
"173","1.709974","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26180; Unit:   1, Func:  16: Write Multiple Registers"
"174","1.810147","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26181; Unit:   1, Func:   2: Read Discrete Inputs"
"175","1.810818","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26181; Unit:   1, Func:   2: Read Discrete Inputs"
"176","1.811491","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26182; Unit:   1, Func:  15: Write Multiple Coils"
"177","1.812022","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26182; Unit:   1, Func:  15: Write Multiple Coils"
"178","1.812510","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26183; Unit:   1, Func:   4: Read Input Registers"
"179","1.813020","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26183; Unit:   1, Func:   4: Read Input Registers"
"180","1.813684","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26184; Unit:   1, Func:   3: Read Holding Registers"
"181","1.814196","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26184; Unit:   1, Func:   3: Read Holding Registers"
"182","1.814642","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26185; Unit:   1, Func:  16: Write Multiple Registers"
"183","1.815089","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26185; Unit:   1, Func:  16: Write Multiple Registers"
"184","1.915153","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26186; Unit:   1, Func:   2: Read Discrete Inputs"
"185","1.915819","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26186; Unit:   1, Func:   2: Read Discrete Inputs"
"186","1.916397","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26187; Unit:   1, Func:  15: Write Multiple Coils"
"187","1.916856","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26187; Unit:   1, Func:  15: Write Multiple Coils"
"188","1.917137","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26188; Unit:   1, Func:   4: Read Input Registers"
"189","1.917609","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26188; Unit:   1, Func:   4: Read Input Registers"
"190","1.917968","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26189; Unit:   1, Func:   3: Read Holding Registers"
"191","1.918350","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26189; Unit:   1, Func:   3: Read Holding Registers"
"192","1.918700","169.254.83.9","169.254.149.247","Modbus/TCP","75","   Query: Trans: 26190; Unit:   1, Func:  16: Write Multiple Registers"
"193","1.919022","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26190; Unit:   1, Func:  16: Write Multiple Registers"
"194","2.019132","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26191; Unit:   1, Func:   2: Read Discrete Inputs"
"195","2.022560","169.254.149.247","169.254.83.9","Modbus/TCP","64","Response: Trans: 26191; Unit:   1, Func:   2: Read Discrete Inputs"
"196","2.023227","169.254.83.9","169.254.149.247","Modbus/TCP","68","   Query: Trans: 26192; Unit:   1, Func:  15: Write Multiple Coils"
"197","2.025243","169.254.149.247","169.254.83.9","Modbus/TCP","66","Response: Trans: 26192; Unit:   1, Func:  15: Write Multiple Coils"
"198","2.025734","169.254.83.9","169.254.149.247","Modbus/TCP","66","   Query: Trans: 26193; Unit:   1, Func:   4: Read Input Registers"
"199","2.026396","169.254.149.247","169.254.83.9","Modbus/TCP","71","Response: Trans: 26193; Unit:   1, Func:   4: Read Input Registers"
